WT	evr	nev	nevevrhae	nevevrhaehsl	nevevr	nevidaevr
12.635	11.964	9.931	7.295	10.083	7.418	7.225
13.437	11.205	10.787	7.446	10.358	7.588	8.009
13.16	11.015	9.81	7.106	9.941	6.498	8.511
13.215	10.923	9.982	6.77	10.142	7.505	8.937
13.037	10.742	10.402	6.476	9.426	7.24	8.006
13.339	11.217	10.234	7.238	10.2	7.085	8.403
12.869	10.246	9.65	8.207	10.067	6.371	7.453
13.505	11.073	9.492	7.525	10.129	7.213	7.619
12.281	10.589	10.616	7.484	9.974	6.538	9.247
12.959	11.267	10.164	7.942	10.315	8.003	8.454
13.148	9.947	9.485	6.708	11.285	7.862	7.624
13.577	10.852	8.782	7.466	10.855	7.95	8.701
13.339	10.539	9.707	8.516	10.406	7.596	8.741
14.033	10.746	9.713	8.016	9.524	6.868	8.094
13.805	10.256	9.645	7.541	9.591	6.509	7.794
13.102	9.979	9.34	7.402	9.58	7.011	8.302
13.851	10.156	9.668	6.577	9.735	8.361	7.759
14.33	10.117	9.367	7.948	10.835	7.581	7.844
13.155	10.255	9.797	7.739	9.836	7.788	8.401
12.511	10.416	10.653	8.484	9.95	7.187	7.958
13.151	10.837	9.238	7.319	10.091	7.86	9.465
13.347	10.325	9.244	7.603	12.115	7.413	7.326
14.48	10.007	9.309	7.081	11.754	8.062	7.812
14.531	10.584	9.215	7.442	10.899	7.088	7.752
14.384	10.153	9.248	7.022	11.308	7.78	7.376
13.9	11.189	9.335	7.002	11.084	7.621	9.454
13.643	10.33	10.235	8.259	11.527	7.04	8.86
13.316	11.647	9.738	7.32	10.672	7.899	8.954
13.03	11.69	9.469	7.554	10.516	7.656	8.427
13.085	11.293	10.269	7.539	11.475	8.482	9.213
